cust_id	Inv_1M_Bef	satis_survey	cust_age	cust_tenure	tottrans	months_since_survey	Inv_3M_Aft	Inv_Chg	categ
112462	20793	1	39.263518138	1.697467488	105	3	23425	2632	bad
114153	3637	4	23.137577002	1.0020533881	42	3	8751	5114	good
114951	833	5	54.729637235	1.7987679671	64	3	4367	3534	good
115522	48385	5	25.489390828	0.5201916496	24	3	41604	-6781	good
115648	44305	1	48.813141684	1.1334702259	67	3	17653	-26652	bad
116813	36907	2	30.628336756	2.5489390828	77	3	40442	3535	bad
117524	1899	5	71.997262149	3.8631074606	42	3	2638	739	good
117932	4285	5	33.259411362	0.2628336756	65	3	5511	1226	good
120022	18523	4	28.851471595	2.9678302533	33	3	20801	2278	good
122492	17391	5	25.711156742	0.8186173854	33	3	23506	6115	good
124656	492	1	22.945927447	2.3983572895	16	3	945	453	bad
124706	3630	5	19.041752225	0.5119780972	20	3	2902	-728	good
125226	8758	1	29.193702943	1.273100616	29	3	11769	3011	bad
125427	145754	4	37.483915127	3.8138261465	24	3	14736	-131018	good
127521	759	1	31.394934976	0.6105407255	71	3	315	-444	bad
128282	58838	2	26.499657769	6.6036960986	70	3	59777	939	bad
128366	2063	5	23.419575633	4.5448323066	38	3	6351	4288	good
129602	169068	2	47.011635866	0.5859000684	10	3	188281	19213	bad
130390	2378	5	23.085557837	3.2142368241	89	3	9064	6686	good
132139	901	4	30.091718001	3.6495550992	37	3	4	-897	good
132475	5584	1	34.795345654	0.6762491444	23	3	5296	-288	bad
133044	50887	5	53.87816564	1.5277207392	61	3	53886	2999	good
137472	136048	1	35.728952772	5.8507871321	7	3	100985	-35063	bad
137492	2666	4	43.564681725	0.4216290212	11	3	2302	-364	good
137594	3967	1	19.882272416	2.7104722793	37	3	5265	1298	bad
139230	90	1	41.708418891	0.7145790554	66	3	702	612	bad
143467	12863	2	29.727583847	8.2409308693	37	3	14877	2014	bad
145007	218186	2	37.11156742	0.5174537988	49	3	218541	355	bad
145598	3901	1	31.783709788	0.1834360027	10	3	362	-3539	bad
147008	2844	1	30.19301848	2.7296372348	79	3	2563	-281	bad
147513	22905	1	36.848733744	3.0828199863	71	3	29820	6915	bad
147814	4862	5	77.059548255	0.2245037645	9	3	23259	18397	good
148059	55894	4	47.019849418	1.0978781656	20	3	2751	-53143	good
148298	1885	5	19.170431211	1.8370978782	51	3	3070	1185	good
152681	2687	2	32.34770705	1.4236824093	53	3	816	-1871	bad
153651	5441	5	58.53798768	0.8240930869	59	3	5812	371	good
155216	27940	2	25.626283368	0.3121149897	72	3	10741	-17199	bad
155884	26542	1	38.132785763	6.3874058864	86	1	0	-26542	bad
157660	27648	1	38.258726899	3.4524298426	82	3	1781	-25867	bad
158308	12580	4	26.039698836	3.1293634497	95	3	8257	-4323	good
158607	1377	5	33.872689938	2.1957563313	64	3	854	-523	good
158773	24359	2	44.120465435	1.2703627652	33	3	33145	8786	bad
159052	13013	2	53.125256674	1.5605749487	164	3	37431	24418	bad
160576	43487	1	77.338809035	1.9329226557	101	3	5537	-37950	bad
162303	56776	1	26.154688569	3.2580424367	115	3	61209	4433	bad
162680	2869	4	23.12936345	2.9514031485	26	3	42010	39141	good
162685	213	4	51.537303217	0.2327173169	77	3	1045	832	good
169923	39432	2	36.941820671	3.0910335387	92	3	35064	-4368	bad
170874	206301	5	19.107460643	3.7919233402	71	3	202728	-3573	good
171574	909	4	19.449691992	1.2375085558	91	3	1004	95	good
175636	26619	4	53.35797399	3.9671457906	91	3	24242	-2377	good
176685	706	1	50.269678303	10.01779603	10	0	0	-706	bad
179751	29006	5	24.52019165	4.7501711157	33	3	38804	9798	good
181191	2287	5	43.501711157	0.4216290212	13	3	6373	4086	good
182061	2254	5	65.122518823	0.5448323066	72	3	8194	5940	good
182525	26355	1	79.159479808	0.257357974	27	3	18126	-8229	bad
183529	10543	5	62.53798768	8.8980150582	58	3	3384	-7159	good
187308	1899	2	20.052019165	5.0978781656	28	3	1270	-629	bad
189979	23230	1	37.587953457	3.099247091	74	3	31072	7842	bad
195201	477	2	34.598220397	1.5441478439	86	3	1379	902	bad
197382	3953	1	38.694045175	1.4510609172	176	3	16395	12442	bad
197973	1562	5	21.28678987	1.3661875428	53	3	6471	4909	good
198409	1911	2	61.697467488	0.5831622177	33	3	4503	2592	bad
198496	888	1	18.412046543	0.2354551677	48	3	546	-342	bad
204486	483	5	54.850102669	5.8863791923	106	3	728	245	good
204632	6943	1	36.249144422	1.2484599589	32	3	4264	-2679	bad
204699	3529	4	43.16495551	0.8898015058	4	3	1854	-1675	good
204837	3583	2	61.319644079	1.4182067077	45	3	1378	-2205	bad
206118	588	5	68.320328542	0.3805612594	45	3	2920	2332	good
208316	2107	5	24.465434634	3.2498288843	41	3	3537	1430	good
208719	15596	2	54.929500342	0.2984257358	23	3	12418	-3178	bad
208890	57810	4	31.288158795	4.8596851472	22	3	54751	-3059	good
209438	1288	5	36.407939767	1.1882272416	35	3	695	-593	good
209559	8683	1	26.258726899	0.7310061602	61	3	11509	2826	bad
210260	63538	4	41.472963723	3.9671457906	52	3	43420	-20118	good
210453	3453	1	53.73853525	0.5941136208	63	3	1634	-1819	bad
210942	11909	2	38.861054073	0.4271047228	10	3	16488	4579	bad
212046	1946	5	37.549623546	5.4565366188	40	3	9302	7356	good
213017	1179	1	30.245037645	3.4907597536	108	3	1528	349	bad
213788	7864	5	59.802874743	1.3963039014	35	3	3088	-4776	good
214323	2662	1	52.164271047	1.2785763176	35	3	1375	-1287	bad
215740	256	5	55.030800821	0.7419575633	50	3	173	-83	good
215909	4107	5	19.080082136	0.3531827515	42	3	2510	-1597	good
215999	455	2	27.745379877	0.257357974	8	3	0	-455	bad
216891	2883	1	33.626283368	1.4373716632	103	3	1781	-1102	bad
216953	7522	1	67.121149897	1.4647501711	58	3	7222	-300	bad
219570	1888	1	63.780971937	0.6652977413	75	3	18189	16301	bad
220357	137	5	19.874058864	0.8733744011	4	3	1589	1452	good
221139	500	1	24.484599589	0.2792607803	72	3	2052	1552	bad
222522	7113	2	25.464750171	1.7385352498	79	3	8634	1521	bad
226455	1725	2	32.958247775	2.1190965092	64	3	1571	-154	bad
228855	18865	1	40.533880903	5.3305954825	183	3	19237	372	bad
231565	293	5	32.947296372	2.6228610541	21	3	3584	3291	good
231718	11535	4	56.331279945	2.4777549624	68	3	12321	786	good
232412	1570	5	55.863107461	2.6913073238	83	3	495	-1075	good
235617	17584	5	19.003422313	1.8672142368	27	3	18626	1042	good
236218	5480	2	24.008213552	2.1629021218	129	3	6187	707	bad
236606	3973	1	22.510609172	3.5947980835	49	3	1237	-2736	bad
238603	3746	1	25.341546886	4.4380561259	74	3	3610	-136	bad
240324	1311	1	32.306639288	2.2669404517	34	3	1815	504	bad
240735	1538	4	38.0862423	1.9082819986	43	3	1506	-32	good
241373	14186	1	37.505817933	1.1772758385	107	3	1846	-12340	bad
241988	100849	5	47.594798084	1.0020533881	42	3	128139	27290	good
244451	7750	5	67.052703628	0.9993155373	31	3	3208	-4542	good
244927	12672	1	37.199178645	0.2245037645	26	3	8971	-3701	bad
245329	20383	1	52.791238877	2.0588637919	44	3	23967	3584	bad
249831	5852	4	30.729637235	2.431211499	23	3	10887	5035	good
253284	6290	1	27.753593429	3.2908966461	52	3	5747	-543	bad
254313	196	2	49.979466119	2.4339493498	101	3	1092	896	bad
255606	7244	4	18.54072553	0.5639972621	85	3	8600	1356	good
255940	3998	2	33.804243669	9.4209445585	73	3	1782	-2216	bad
257700	68033	5	71.1321013	0.9062286105	19	3	23943	-44090	good
257961	25011	4	58.370978782	0.720054757	173	3	5986	-19025	good
258047	5683	1	28.804928131	7.1293634497	132	3	2150	-3533	bad
258260	1633	4	50.590006845	3.3785078713	86	3	3850	2217	good
258985	219	5	48.076659822	2.1711156742	34	3	199	-20	good
259591	1881	4	19.274469541	1.1307323751	64	3	1611	-270	good
261113	1647	4	50.579055441	0.2080766598	13	3	3596	1949	good
261471	9145	1	37.273100616	4.2710472279	11	3	8756	-389	bad
262385	33320	2	62.535249829	0.3668720055	93	3	25041	-8279	bad
263118	1257	1	25.932922656	3.4332648871	18	0	0	-1257	bad
264258	5692	5	77.53045859	0.2847364819	21	3	60975	55283	good
269019	1516	2	31.195071869	2.6475017112	137	3	3033	1517	bad
269714	65	2	26.026009582	1.7987679671	9	3	1700	1635	bad
270226	235702	5	24.498288843	2.8281998631	92	3	308364	72662	good
271532	2130	1	63.685147159	3.0663928816	20	3	1578	-552	bad
272181	15451	5	29.927446954	1.3141683778	63	3	17905	2454	good
272993	233453	4	30.154688569	0.9253935661	18	3	15135	-218318	good
273616	685	5	71.017111567	6.1245722108	3	3	526	-159	good
274325	2493	1	35.419575633	0.3668720055	96	3	4685	2192	bad
275532	17055	5	49.659137577	4.8733744011	9	3	41612	24557	good
276733	8060	5	27.154004107	1.9876796715	65	3	9892	1832	good
280273	814	4	43.890485969	1.5249828884	62	3	544	-270	good
283083	11227	4	69.032169747	1.6180698152	37	3	11558	331	good
284135	1765	2	31.452429843	1.4127310062	181	3	2247	482	bad
284687	886	2	30.691307324	2.2970568104	66	3	776	-110	bad
284775	1852	1	36.884325804	2.7679671458	13	3	3316	1464	bad
285681	7650	5	67.318275154	0.772073922	54	3	3619	-4031	good
286317	2283	4	33.979466119	0.7939767283	8	3	1121	-1162	good
292473	4002	4	30.918548939	4.1122518823	89	3	4065	63	good
293134	229391	5	34.954140999	0.3997262149	13	3	145265	-84126	good
295033	40217	2	60.895277207	1.9904175222	38	3	54917	14700	bad
298183	53336	1	42.338124572	4.9199178645	29	3	21136	-32200	bad
300290	12399	2	26.102669405	1.9630390144	77	3	9701	-2698	bad
300440	6054	2	37.297741273	2.5160848734	47	3	8186	2132	bad
301873	3714	2	54.496919918	0.2655715264	11	3	13556	9842	bad
303140	649	5	20.780287474	0.8651608487	49	3	3159	2510	good
303224	81569	4	73.415468857	1.1033538672	29	3	93270	11701	good
305345	1967	1	30.299794661	3.0855578371	100	3	2101	134	bad
305642	2398	5	28.996577687	0.7173169062	133	3	1176	-1222	good
306454	46807	2	23.463381246	0.6132785763	40	2	0	-46807	bad
306465	5972	1	33.35797399	0.8952772074	8	3	8325	2353	bad
307442	11848	1	32.90349076	6.0506502396	124	3	15451	3603	bad
307788	58885	2	42.907597536	0.9719370294	165	3	47171	-11714	bad
307891	4361	1	30.324435318	1.6810403833	123	3	2900	-1461	bad
308852	7756	5	18.494182067	0.4818617385	38	3	6258	-1498	good
309606	13164	5	25.262149213	6.2724161533	158	3	13433	269	good
310144	3393	2	22.954140999	0.5174537988	63	3	3750	357	bad
310339	1091	1	42.302532512	2.0889801506	8	3	1908	817	bad
310760	9034	5	59.832991102	2.4093086927	20	3	11618	2584	good
312855	74138	5	33.577002053	0.6735112936	36	3	117828	43690	good
312966	6616	1	28.635181383	4.9144421629	59	3	8188	1572	bad
314588	1841	2	28.046543463	0.5119780972	126	3	4909	3068	bad
314839	614	5	37.158110883	3.022587269	37	3	9405	8791	good
316791	2735	2	32.936344969	1.9082819986	60	3	4813	2078	bad
317926	12895	1	24.1724846	4.6789869952	86	3	11460	-1435	bad
318151	2445	1	42.102669405	1.0075290897	80	3	3903	1458	bad
321350	21338	2	21.505817933	1.4072553046	65	3	47749	26411	bad
322984	10909	2	48.919917864	4.772073922	43	3	11225	316	bad
325591	555	5	42.32991102	7.4606433949	92	3	1072	517	good
326823	1305	2	37.097878166	5.1252566735	4	3	5024	3719	bad
328390	11527	1	26.559890486	1.5167693361	14	3	119	-11408	bad
328543	4501	5	34.913073238	0.553045859	133	3	1938	-2563	good
330939	3830	4	34.384668036	1.7850787132	34	3	11472	7642	good
331071	72275	5	27.709787817	4.605065024	115	3	73724	1449	good
332217	3969	1	37.388090349	1.4209445585	52	3	1044	-2925	bad
332490	4479	5	35.364818617	1.3990417522	38	3	1785	-2694	good
332625	3769	5	44.117727584	3.241615332	2	3	1282	-2487	good
335794	20370	1	45.456536619	4.9199178645	124	3	17106	-3264	bad
338009	503	4	72.262833676	2.5708418891	27	3	2646	2143	good
344428	9014	4	43.945242984	4.1998631075	110	3	5106	-3908	good
345751	4596	4	23.422313484	5.1088295688	96	3	2173	-2423	good
